,barrio,barrio-href,zona,ciudad,lat,lon
61,Espacio Las Cavas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1123&country=Espacio%20Las%20Cavas,Buenos Aires - Sur,Canning,-34.887233 , -58.508763
62,Village Del Parque,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=819&country=Village%20Del%20Parque,Buenos Aires - Sur,Gutierrez,,
63,Chacras del Carmen,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=616&country=Chacras%20del%20Carmen,Buenos Aires - Costa Atlantica,Pinamar,-37.002536 , -56.809458
64,Serena de Morra,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=406&country=Serena%20de%20Morra,Buenos Aires - Norte,Pilar,-34.442846 , -58.886228
65,Terravista,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=124&country=Terravista,Buenos Aires - Oeste,General Rodriguez,-34.588806 , -58.906815
66,Cariamas Aldea,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=540&country=Cariamas%20Aldea,Prov. Cordoba,Villa Yacanto,-32.192641 , -64.75
67,Chacra de Alcala,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=188&country=Chacra%20de%20Alcala,Buenos Aires - Sur,Ezeiza,-35.572388 , -58.701181
68,Club De Campo Mendoza,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=587&country=Club%20De%20Campo%20Mendoza,Prov. Mendoza,Guaymallen,-32.917105 , -68.803933
69,Tres Pinos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=249&country=Tres%20Pinos,Buenos Aires - Oeste,Lujan,-34.684616 , -59.042161
70,La Peregrina,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=454&country=La%20Peregrina,Buenos Aires - Norte,Pilar,-34.467713 , -58.820346
71,Villa Pacheco,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=417&country=Villa%20Pacheco,Buenos Aires - Norte,Pacheco,-34.439843 , -58.652123
72,Santa Maria,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=28&country=Santa%20Maria,Buenos Aires - Norte,Tigre,-34.389615 , -58.624766
73,Chacras de la Reserva,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1134&country=Chacras%20de%20la%20Reserva,Buenos Aires - Norte,Campana,-34.283456 , -58.919771
